# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.66
2                      30.82
4                     702.16
8                     705.59
16                    706.26
32                    707.72
64                    710.73
128                   721.89
256                   712.58
512                    31.07
1024                   33.92
2048                   34.07
4096                   35.43
8192                   49.13
16384                  60.42
32768                  82.87
65536                 129.51
131072                223.95
262144                431.44
524288                879.64
1048576              2155.24
