# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      84.98
2                      85.22
4                      85.84
8                      89.04
16                    102.21
32                    113.26
64                    338.15
128                   271.68
256                   292.26
512                   553.83
1024                  635.93
2048                  788.00
4096                 1055.55
8192                 2138.21
16384                3171.98
32768                5382.92
65536                9489.68
131072              17863.67
262144              34207.57
524288              67103.47
1048576            133068.01
