# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.86
2                      17.66
4                      17.73
8                      18.37
16                     19.67
32                     19.93
64                     20.75
128                    22.23
256                    28.19
512                    34.65
1024                   43.82
2048                   51.99
4096                   68.50
8192                   98.18
16384                 161.00
32768                 290.75
65536                 556.68
131072               1105.78
262144               2227.90
524288               4469.37
1048576              9493.41
