# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      27.77
2                      27.82
4                      29.26
8                      31.59
16                     34.09
32                     36.33
64                     38.97
128                    52.84
256                    62.41
512                    69.86
1024                   89.73
2048                  119.32
4096                  174.84
8192                  263.89
16384                 393.43
32768                 684.36
65536                1279.38
131072               2451.75
262144               4724.44
524288               9250.01
1048576             18964.54
