# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     185.94
2                      71.73
4                      90.04
8                      71.03
16                     69.58
32                     69.24
64                     69.77
128                    70.06
256                    74.76
512                    78.81
1024                   87.25
2048                   94.57
4096                  120.33
8192                  178.07
16384                 306.69
32768                 559.72
65536                1026.88
131072               3329.41
262144               9165.43
524288              18792.61
1048576             38630.63
