# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      35.99
8                      37.39
16                     37.38
32                     37.90
64                     36.81
128                    40.49
256                    40.47
512                    41.11
1024                   42.10
2048                   57.25
4096                   51.41
8192                   97.47
16384                 105.72
32768                 126.13
65536                 217.77
131072                384.35
262144                708.84
524288               1347.70
1048576              2621.11
