# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     188.07
8                     187.98
16                    173.14
32                    173.07
64                     76.13
128                    77.52
256                    80.63
512                    86.27
1024                   93.04
2048                  104.04
4096                  110.55
8192                  263.88
16384                 286.33
32768                 285.50
65536                 290.87
131072                344.86
262144                373.74
524288                425.12
1048576               538.23
