# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.34
2                      22.58
4                      22.77
8                      24.35
16                     26.46
32                     28.51
64                     29.35
128                    31.57
256                    44.82
512                    52.21
1024                   59.09
2048                   77.00
4096                  108.54
8192                  158.66
16384                 237.91
32768                 396.74
65536                 715.41
131072               1352.57
262144               2610.97
524288               5128.19
1048576             10367.85
