# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.21
2                      18.07
4                      17.41
8                      17.85
16                     19.74
32                     21.08
64                     21.73
128                    22.56
256                    24.30
512                    37.63
1024                   44.15
2048                   48.85
4096                   66.84
8192                   99.61
16384                 149.08
32768                 240.61
65536                 423.78
131072                780.09
262144               1414.48
524288               2645.09
1048576              5138.71
