# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.12
2                      29.35
4                      31.57
8                      33.26
16                     35.77
32                     38.10
64                     48.46
128                    59.95
256                    64.97
512                    75.94
1024                   93.54
2048                  123.33
4096                  171.17
8192                  248.89
16384                 394.52
32768                 688.40
65536                1278.71
131072               2448.32
262144               4787.15
524288               9519.29
1048576             19606.76
