# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      56.86
8                      57.65
16                     57.54
32                     58.84
64                     59.01
128                    65.10
256                    87.92
512                   123.83
1024                  111.23
2048                  105.23
4096                  112.64
8192                  180.58
16384                 204.49
32768                 238.39
65536                 313.29
131072                507.21
262144                871.24
524288               1597.12
1048576              3045.89
