# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.67
8                      21.09
16                     21.08
32                     21.57
64                     21.02
128                    24.30
256                    27.11
512                    27.40
1024                   28.36
2048                   43.18
4096                   36.79
8192                   78.93
16384                  87.04
32768                  97.25
65536                 203.59
131072                330.34
262144                583.31
524288               1084.30
1048576              2090.16
