# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      58.25
2                      56.07
4                      56.78
8                      57.99
16                     58.46
32                     59.14
64                     60.51
128                    74.40
256                    77.02
512                    87.96
1024                   91.10
2048                  109.56
4096                  140.42
8192                  193.05
16384                 272.76
32768                 429.32
65536                 741.02
131072               1371.75
262144               2485.69
524288               4915.15
1048576              9786.04
