# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      34.43
2                      34.20
4                     685.69
8                     685.52
16                    689.70
32                    714.18
64                    707.71
128                   699.28
256                   703.20
512                    34.46
1024                   34.75
2048                   35.10
4096                   35.92
8192                   52.33
16384                  63.67
32768                  88.23
65536                 135.89
131072                231.76
262144                431.14
524288                903.41
1048576              1955.75
