# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     167.14
8                      82.58
16                     81.84
32                     82.63
64                    121.09
128                   124.08
256                   123.77
512                   125.35
1024                  128.42
2048                  170.55
4096                  149.11
8192                  169.99
16384                 201.47
32768                 254.76
65536                 320.47
131072                511.40
262144                922.59
524288               1754.12
1048576              3405.44
