# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      22.57
8                      22.66
16                     31.16
32                     31.35
64                     32.74
128                    33.53
256                    35.36
512                    36.93
1024                   37.62
2048                   38.93
4096                   55.42
8192                   60.08
16384                  83.19
32768                 115.80
65536                 144.15
131072                249.34
262144                471.82
524288                870.27
1048576              1693.22
