# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      34.75
2                      33.28
4                      30.81
8                      30.86
16                     30.87
32                     30.96
64                     31.09
128                    30.99
256                    31.07
512                    31.31
1024                   32.02
2048                   32.91
4096                   34.60
8192                   35.42
16384                  39.32
32768                  45.96
65536                  45.27
131072                 52.12
262144                 69.92
524288                103.61
1048576               171.92
