# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      78.85
2                      78.68
4                      80.93
8                      81.78
16                     82.71
32                     86.85
64                     88.87
128                    88.26
256                   152.00
512                   170.31
1024                   92.71
2048                  104.06
4096                  112.20
8192                  143.41
16384                 199.48
32768                 328.57
65536                 594.76
131072               1304.35
262144               2905.89
524288               4951.79
1048576              9099.01
