# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.54
8                       5.03
16                      4.70
32                      4.97
64                      5.66
128                     5.75
256                     6.16
512                     6.49
1024                    6.58
2048                    7.42
4096                    9.24
8192                   14.82
16384                  20.81
32768                  24.43
65536                  37.33
131072                 60.96
262144                112.22
524288                208.09
1048576               421.42
