# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      91.28
2                      90.66
4                      90.34
8                     109.23
16                     91.81
32                     93.33
64                     91.45
128                    92.46
256                    94.93
512                    96.41
1024                   99.48
2048                  102.68
4096                  108.69
8192                  180.16
16384                 290.99
32768                 452.38
65536                 727.78
131072               1273.39
262144               2528.17
524288               4958.93
1048576              9874.36
