# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      23.90
2                      24.09
4                      24.04
8                      25.17
16                     23.78
32                     23.77
64                     23.90
128                    24.00
256                    24.44
512                    24.65
1024                   24.95
2048                   25.27
4096                   26.00
8192                   30.98
16384                  35.94
32768                  46.11
65536                  68.20
131072                112.52
262144                224.64
524288                454.85
1048576               903.50
