# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      68.44
2                      69.34
4                      69.70
8                      70.67
16                     71.38
32                     80.38
64                     90.04
128                   103.06
256                   104.77
512                   129.77
1024                  159.28
2048                  206.70
4096                  283.21
8192                  425.18
16384                 694.53
32768                1247.59
65536                2342.79
131072               4555.81
262144               8938.80
524288              17470.88
1048576             34704.54
