# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      49.98
8                      51.59
16                     51.42
32                     68.81
64                     67.60
128                    71.22
256                    71.82
512                    75.17
1024                   76.77
2048                   81.29
4096                   86.12
8192                  139.66
16384                 171.10
32768                 201.36
65536                 277.69
131072                471.63
262144                830.23
524288               1558.08
1048576              3013.78
