# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                     161.41
8                     161.51
16                    148.70
32                    148.66
64                     65.02
128                    66.11
256                    68.85
512                    72.99
1024                   77.59
2048                   85.44
4096                   94.50
8192                  219.93
16384                 238.18
32768                 252.11
65536                 257.00
131072                300.91
262144                323.55
524288                368.08
1048576               471.26
