# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     164.75
8                      87.52
16                     86.72
32                    113.17
64                    110.30
128                   115.14
256                   113.44
512                   115.17
1024                  117.93
2048                  125.47
4096                  142.07
8192                  151.89
16384                 177.11
32768                 222.87
65536                 283.46
131072                472.43
262144                875.86
524288               1668.50
1048576              3257.04
