# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.47
2                      12.38
4                      12.31
8                      12.26
16                     12.27
32                     12.18
64                     12.21
128                    12.31
256                    13.45
512                    13.39
1024                   13.67
2048                   14.07
4096                   14.44
8192                   18.66
16384                  24.48
32768                  38.93
65536                  66.00
131072                120.31
262144                242.37
524288                502.35
1048576              1006.94
