# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                    1436.95
2                    1295.58
4                    1350.14
8                    1372.46
16                   1365.91
32                   1370.83
64                   1389.74
128                  1383.62
256                  1385.46
512                   105.95
1024                  107.27
2048                  110.01
4096                  128.96
8192                  137.52
16384                 153.21
32768                 196.72
65536                 282.37
131072                456.21
262144                780.40
524288               1464.26
1048576              3068.15
