# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.97
2                      10.97
4                      10.99
8                      10.99
16                     11.02
32                     11.03
64                     11.10
128                    11.20
256                    11.81
512                    16.25
1024                   12.27
2048                   12.78
4096                   13.74
8192                   22.80
16384                  29.90
32768                  43.30
65536                  69.01
131072                121.71
262144                226.48
524288                463.15
1048576               986.25
