# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      42.24
8                      43.48
16                     43.48
32                     44.47
64                     78.19
128                    82.22
256                    82.44
512                    84.35
1024                   87.67
2048                   90.87
4096                   96.63
8192                  159.05
16384                 227.51
32768                 227.00
65536                 320.90
131072                517.12
262144                967.32
524288               1707.81
1048576              3147.02
