# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      53.22
8                      54.11
16                     54.97
32                     55.31
64                     54.81
128                    61.50
256                    87.12
512                    89.05
1024                   91.38
2048                   96.25
4096                  104.25
8192                  181.61
16384                 238.20
32768                 277.94
65536                 437.58
131072                627.69
262144               1168.55
524288               2361.90
1048576              3423.86
