# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      46.04
2                      45.42
4                      45.59
8                      46.87
16                     55.15
32                     55.87
64                     63.29
128                    58.07
256                    59.52
512                    39.82
1024                   40.97
2048                   43.54
4096                   48.98
8192                   76.19
16384                 105.55
32768                 172.46
65536                 305.86
131072                560.98
262144               1153.82
524288               2467.34
1048576              5168.34
