# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     169.24
2                     169.16
4                     169.45
8                     170.06
16                    170.50
32                    170.64
64                    171.91
128                   173.44
256                   175.13
512                   180.22
1024                  195.79
2048                  908.64
4096                  946.07
8192                 1002.94
16384                1101.34
32768                1154.97
65536                1181.91
131072               1219.07
262144               1443.32
524288               1574.23
1048576              2744.94
