# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      22.05
2                      22.30
4                      22.48
8                      24.43
16                     24.80
32                     22.06
64                     22.11
128                    22.22
256                    22.50
512                    27.41
1024                   23.35
2048                   23.74
4096                   25.20
8192                   34.49
16384                  40.14
32768                  49.14
65536                  69.03
131072                108.98
262144                187.56
524288                345.83
1048576               667.14
