# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     168.92
8                      85.16
16                     84.54
32                     85.04
64                    128.77
128                   142.14
256                   132.04
512                   133.28
1024                  136.80
2048                  179.48
4096                  156.32
8192                  180.55
16384                 213.10
32768                 258.35
65536                 330.62
131072                532.59
262144                966.02
524288               1830.96
1048576              3552.52
