# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      23.63
8                      23.46
16                     36.09
32                     36.45
64                     38.09
128                    38.63
256                    41.01
512                    42.34
1024                   42.80
2048                   44.36
4096                   60.42
8192                   60.31
16384                  88.18
32768                 116.60
65536                 144.47
131072                252.90
262144                473.65
524288                899.73
1048576              1757.32
