# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.00
2                      11.00
4                      10.98
8                      11.11
16                     11.01
32                     11.12
64                     12.20
128                    13.66
256                    14.23
512                    14.57
1024                   15.04
2048                   16.83
4096                   19.84
8192                   23.58
16384                  29.27
32768                  40.51
65536                  64.33
131072                113.55
262144                207.15
524288                409.56
1048576               817.83
