# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.37
2                      31.77
4                     676.80
8                     691.03
16                    711.46
32                    718.55
64                    726.28
128                   737.58
256                   731.82
512                    32.08
1024                   32.52
2048                   33.51
4096                   35.89
8192                   53.30
16384                  63.69
32768                  88.04
65536                 137.38
131072                235.36
262144                438.32
524288                797.19
1048576              1566.66
