# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      11.53
8                      11.52
16                     11.55
32                     11.81
64                     11.91
128                    11.96
256                    14.84
512                    15.04
1024                   15.37
2048                   16.18
4096                   17.18
8192                   30.94
16384                  37.29
32768                  48.57
65536                  67.72
131072                102.71
262144                174.89
524288                320.53
1048576               621.35
