# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.99
8                      34.96
16                     35.37
32                     33.94
64                     34.01
128                    34.97
256                    37.09
512                    37.46
1024                   38.00
2048                   39.18
4096                   41.13
8192                   45.62
16384                  50.84
32768                  59.25
65536                  77.85
131072                113.92
262144                194.20
524288                353.88
1048576               683.34
