# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      39.80
8                      40.36
16                     40.50
32                     41.32
64                     62.44
128                    66.96
256                    69.82
512                    72.92
1024                   75.76
2048                   78.77
4096                   84.41
8192                  109.12
16384                 129.77
32768                 160.12
65536                 212.34
131072                381.82
262144                602.38
524288               1277.12
1048576              2278.71
