# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      69.82
8                      69.46
16                     70.91
32                     68.99
64                     69.02
128                    69.73
256                    69.30
512                    77.18
1024                   76.30
2048                   78.87
4096                   81.40
8192                  158.96
16384                 161.04
32768                 175.55
65536                 267.90
131072                431.52
262144                701.07
524288               1295.99
1048576              2461.16
