# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.20
2                       8.18
4                       8.25
8                       8.26
16                      8.17
32                      8.15
64                      8.61
128                     8.71
256                    10.98
512                    11.12
1024                   11.48
2048                   13.18
4096                   16.12
8192                   12.14
16384                  15.89
32768                  19.05
65536                  30.79
131072                 50.88
262144                 82.01
524288                134.52
1048576               252.69
