# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      33.39
2                      35.12
4                      37.34
8                      40.10
16                     43.79
32                     48.52
64                     54.18
128                    59.46
256                    64.46
512                    78.46
1024                  102.35
2048                  141.59
4096                  218.26
8192                  369.30
16384                 676.84
32768                1299.32
65536                2542.26
131072               5020.97
262144               9960.75
524288              20013.00
1048576             40051.68
