# OSU RCCL-ROCM Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      37.17
8                      37.02
16                     36.90
32                     39.09
64                     41.92
128                    47.76
256                    47.75
512                    48.17
1024                   48.41
2048                   49.29
4096                   50.43
8192                   51.87
16384                  53.07
32768                  52.66
65536                  52.46
131072                 53.37
262144                 95.29
524288                119.74
1048576               130.68
