# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.73
2                      48.14
4                      49.26
8                      51.29
16                     66.33
32                     67.63
64                    218.71
128                   234.29
256                   259.93
512                   532.52
1024                  600.63
2048                  723.01
4096                  922.31
8192                 1821.92
16384                2612.75
32768                4295.82
65536                8867.29
131072              19834.23
262144              39858.30
524288              79508.11
1048576            160201.99
