# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.99
2                      40.57
4                      41.19
8                      42.40
16                     44.92
32                     55.06
64                     62.60
128                   121.00
256                   133.94
512                   271.77
1024                  312.46
2048                  374.69
4096                  481.33
8192                  919.07
16384                1393.86
32768                2219.99
65536                3931.03
131072               8597.39
262144              19726.13
524288              39759.52
1048576            244562.55
