# OSU RCCL-ROCM Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     170.48
2                     170.62
4                     170.61
8                     171.30
16                    171.18
32                    171.31
64                    172.70
128                   174.34
256                   176.14
512                   181.50
1024                  198.44
2048                  902.74
4096                  936.49
8192                 1001.50
16384                1095.77
32768                 955.03
65536                 961.49
131072                992.55
262144               1117.58
524288               1413.69
1048576              2778.47
