# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      62.06
8                      63.87
16                     64.01
32                     65.14
64                     63.72
128                    99.93
256                   100.41
512                   102.96
1024                  106.79
2048                  110.85
4096                  116.66
8192                  147.54
16384                 206.33
32768                 193.43
65536                 260.16
131072                436.85
262144                860.39
524288               1761.25
1048576              2867.95
