# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.93
2                      21.94
4                      30.85
8                      30.55
16                     31.53
32                     39.96
64                     40.24
128                    48.98
256                    42.16
512                    23.05
1024                   23.42
2048                   24.22
4096                   25.51
8192                   43.04
16384                  57.50
32768                  85.51
65536                 140.96
131072                251.81
262144                470.66
524288                969.73
1048576              2026.56
