# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      35.50
2                      35.47
4                     732.30
8                     694.74
16                    696.95
32                    710.58
64                    694.85
128                   698.89
256                   704.52
512                    35.86
1024                   36.11
2048                   36.63
4096                   37.50
8192                   49.15
16384                  59.47
32768                  81.26
65536                 130.27
131072                243.37
262144                510.25
524288                988.29
1048576              2139.50
