# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     141.20
2                      85.88
4                      83.65
8                      84.35
16                     85.39
32                     85.43
64                     89.46
128                    97.99
256                   104.55
512                   116.23
1024                  152.36
2048                  210.16
4096                  317.33
8192                  533.74
16384                 975.58
32768                3197.05
65536                8124.84
131072              17661.28
262144              37323.30
524288              79234.59
1048576            162751.36
