# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      49.18
2                      50.99
4                      53.88
8                      64.24
16                     73.99
32                     85.54
64                    229.81
128                   250.23
256                   281.11
512                   570.43
1024                  666.13
2048                  828.43
4096                 1105.30
8192                 9820.52
16384                3222.10
32768                8893.22
65536               10019.75
131072              50617.35
262144              38165.82
524288              75787.87
1048576            152839.01
