# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      59.75
8                      60.35
16                     60.74
32                     62.08
64                     61.31
128                    69.13
256                    94.48
512                   130.53
1024                  119.59
2048                  112.30
4096                  120.33
8192                  190.49
16384                 222.97
32768                 264.61
65536                 343.45
131072                563.00
262144                991.89
524288               1826.85
1048576              3500.46
