# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      60.16
2                      58.68
4                      59.08
8                      60.28
16                     60.73
32                     61.54
64                     63.00
128                    76.45
256                    78.99
512                    92.82
1024                   96.47
2048                  115.88
4096                  147.24
8192                  197.77
16384                 273.25
32768                 434.67
65536                 742.93
131072               1369.00
262144               2419.14
524288               4637.91
1048576              9095.90
