# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      75.32
2                      75.57
4                      77.86
8                      78.58
16                     79.57
32                     81.15
64                     85.00
128                    90.01
256                    95.58
512                   117.75
1024                  141.84
2048                  181.85
4096                  278.54
8192                  397.94
16384                 692.99
32768                1289.02
65536                2471.15
131072               4846.88
262144               9535.11
524288              18819.34
1048576             37446.72
