# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      47.65
2                      47.46
4                      47.56
8                      48.88
16                     58.37
32                     58.58
64                     59.02
128                    60.72
256                    63.86
512                    46.45
1024                   46.51
2048                   47.05
4096                   49.05
8192                   66.86
16384                  95.88
32768                 161.75
65536                 330.82
131072                699.04
262144               1368.38
524288               2913.01
1048576              6453.97
