# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.43
2                       4.41
4                       4.42
8                       4.50
16                      4.71
32                      4.92
64                      5.42
128                     5.69
256                     5.81
512                     6.24
1024                    7.24
2048                    9.22
4096                   11.37
8192                   15.70
16384                  25.71
32768                  47.82
65536                 107.25
131072                197.58
262144                406.46
524288                844.74
1048576              1668.03
