# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      94.01
2                      90.82
4                      90.64
8                      92.99
16                     94.26
32                     90.86
64                     90.43
128                    93.64
256                    94.43
512                    94.57
1024                   96.36
2048                  103.14
4096                  110.96
8192                  191.62
16384                 308.94
32768                 476.54
65536                 761.54
131072               1340.26
262144               2514.44
524288               4928.49
1048576             10132.99
