# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      91.51
2                      91.02
4                      91.27
8                      91.58
16                     91.43
32                     91.69
64                     92.12
128                    92.55
256                    92.43
512                    92.68
1024                   93.26
2048                   95.29
4096                  100.58
8192                  115.66
16384                 131.96
32768                 131.45
65536                 162.15
131072                219.25
262144                331.70
524288                568.61
1048576              1091.23
