# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.64
2                      12.62
4                      12.62
8                      12.63
16                     12.19
32                     12.15
64                     12.21
128                    12.28
256                    13.23
512                    13.18
1024                   13.63
2048                   14.12
4096                   14.43
8192                   18.69
16384                  24.74
32768                  39.00
65536                  65.99
131072                120.51
262144                249.02
524288                495.02
1048576               992.48
