# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.48
8                      32.89
16                     32.68
32                     32.93
64                     33.00
128                    34.12
256                    35.72
512                    36.06
1024                   36.51
2048                   43.95
4096                   39.48
8192                   44.98
16384                  57.43
32768                  75.31
65536                 100.47
131072                128.33
262144                184.07
524288                290.81
1048576               522.54
