# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      64.19
2                      63.82
4                      64.04
8                      64.28
16                     65.01
32                     65.47
64                     68.83
128                    73.28
256                    77.62
512                    83.11
1024                   95.53
2048                  122.78
4096                  166.72
8192                  238.31
16384                 390.83
32768                 709.67
65536                1325.28
131072               2568.27
262144               4900.38
524288               9774.82
1048576             19360.80
