# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      27.90
8                      27.79
16                     27.74
32                     44.81
64                     46.21
128                    48.61
256                    49.77
512                    51.52
1024                   53.45
2048                   61.35
4096                   63.10
8192                   82.58
16384                 113.24
32768                 147.53
65536                 195.77
131072                342.18
262144                636.39
524288               1202.28
1048576              2325.15
