# OSU MPI-ROCM Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      19.76
8                      19.71
16                     27.02
32                     26.86
64                     27.27
128                    27.76
256                    30.38
512                    31.94
1024                   32.21
2048                   92.23
4096                  109.76
8192                  101.85
16384                 117.85
32768                 156.68
65536                 217.52
131072                362.36
262144                736.37
524288               1141.06
1048576              2463.63
